0.00000	0.000
0.00015	63.482
0.0003	91.2253
0.00045	126.967
0.0006	151.307
0.00075	168.293
0.0009	184.766
0.00105	200.32
0.0012	213.961
0.00135	226.463
0.0015	237.088
0.00165	247.384
0.0018	256.852
0.00195	264.499
0.0021	272.497
0.00225	279.961
0.0024	287.168
0.00255	293.638
0.0027	299.816
0.00285	305.993
0.003	312.852
0.00315	318.733
0.0033	323.881
0.00345	329.655
0.0036	334.617
0.00375	339.914
0.0039	345.52
0.00405	350.115
0.0042	354.234
0.00435	358.868
0.0045	363.518
0.00465	367.636
0.0048	371.754
0.00495	375.873
0.0051	379.567
0.00525	383.061
0.0054	387.18
0.00555	390.929
0.0057	394.368
0.00585	397.821
0.006	400.509
0.00615	404.035
0.0063	406.65
0.00645	410.509
0.0066	413.597
0.00675	416.463
0.0069	418.727
0.00705	421.815
0.0072	424.904
0.00735	427.844
0.0075	429.903
0.00765	432.074
0.0078	435.163
0.00795	438.176
0.0081	440.235
0.00825	442.294
0.0084	444.353
0.00855	446.412
0.0087	448.472
0.00885	450.531
0.009	452.59
0.00915	454.649
0.0093	457.667
0.00945	458.875
0.0096	460.826
0.00975	463.789
0.0099	465.107
0.01005	467.004
0.0102	469.063
0.01035	471.122
0.0105	473.181
0.01065	475.24
0.0108	476.524
0.01095	478.311
0.0111	479.631
0.01125	481.381
0.0114	483.44
0.01155	485.499
0.0117	487.558
0.01185	488.97
0.012	490
0.01215	491.64
0.0123	493.107
0.01245	494.71
0.0126	496.214
0.01275	497.781
0.0129	499.321
0.01305	500.351
0.0132	501.862
0.01335	503.458
0.0135	504.933
0.01365	506.565
0.0138	507.594
0.01395	509.014
0.0141	511.073
0.01425	512.425
0.0144	513.096
0.01455	514.838
0.0147	516.166
0.01485	517.945
0.015	518.975
0.01515	520.004
0.0153	521.034
0.01545	522.27
0.0156	524.141
0.01575	525
0.0159	525.304
0.01605	527.229
0.0162	528.259
0.01635	529.385
0.0165	531.366
0.01665	532.335
0.0168	532.377
0.01695	533.43
0.0171	535.484
0.01725	536.514
0.0174	537.543
0.01755	537.575
0.0177	539.534
0.01785	540.632
0.018	541.662
0.01815	542.691
0.0183	543.721
0.01845	544.75
0.0186	545.78
0.01875	546.81
0.0189	547.839
0.01905	549.683
0.0192	550.15
0.01935	550.928
0.0195	551.957
0.01965	552.987
0.0198	554.016
0.01995	555.046
0.0201	556.076
0.02025	557.105
0.0204	558.135
0.02055	559.164
0.0207	560.194
0.02085	560.629
0.021	561.781
0.02115	562.725
0.0213	562.725
0.02145	563.767
0.0216	565.323
0.02175	566.353
0.0219	566.916
0.02205	567.364
0.0222	568.394
0.02235	569.423
0.0225	570.453
0.02265	571.108
0.0228	571.82
0.02295	573.204
0.0231	573.523
0.02325	574.553
0.0234	575.582
0.02355	576.612
0.0237	577.395
0.02385	577.851
0.024	579.491
0.02415	579.491
0.0243	579.491
0.02445	579.8
0.0246	581.587
0.02475	581.823
0.0249	583.683
0.02505	583.764
0.0252	584.793
0.02535	585.778
0.0255	585.805
0.02565	586.834
0.0258	587.864
0.02595	587.874
0.0261	589.876
0.02625	589.97
0.0264	590.934
0.02655	591.964
0.0267	592.066
0.02685	592.066
0.027	593.847
0.02715	594.162
0.0273	595.016
0.02745	596.045
0.0276	596.257
0.02775	597.856
0.0279	598.353
0.02805	598.353
0.0282	599.097
0.02835	600.127
0.0285	600.449
0.02865	601.827
0.0288	602.545
0.02895	602.545
0.0291	603.813
0.02925	604.641
0.0294	604.641
0.02955	605.22
0.0297	606.249
0.02985	606.737
0.03	607.26
0.03015	608.29
0.0303	608.832
0.03045	609.301
0.0306	610.331
0.03075	610.928
0.0309	611.342
0.03105	611.976
0.0312	612.353
0.03135	613.383
0.0315	614.412
0.03165	615.12
0.0318	615.12
0.03195	615.405
0.0321	616.435
0.03225	617.216
0.0324	617.216
0.03255	617.64
0.0327	619.311
0.03285	619.311
0.033	619.626
0.03315	621.407
0.0333	621.407
0.03345	621.407
0.0336	621.575
0.03375	623.503
0.0339	623.503
0.03405	623.532
0.0342	624.551
0.03435	624.551
0.0345	625.573
0.03465	626.602
0.0348	627.632
0.03495	627.695
0.0351	627.695
0.03525	628.625
0.0354	629.654
0.03555	629.79
0.0357	629.79
0.03585	630.647
0.036	631.677
0.03615	631.886
0.0363	632.688
0.03645	633.717
0.0366	633.982
0.03675	633.982
0.0369	633.982
0.03705	634.692
0.0372	635.722
0.03735	636.078
0.0375	636.078
0.03765	637.351
0.0378	638.174
0.03795	638.174
0.0381	638.755
0.03825	639.785
0.0384	640.269
0.03855	640.269
0.0387	640.269
0.03885	640.759
0.039	641.789
0.03915	642.365
0.0393	642.8
0.03945	643.413
0.0396	643.811
0.03975	644.461
0.0399	644.461
0.04005	644.804
